,Position,Track Name,Artist,Streams,URL,date
28,29,Intentions (feat. Quavo),Justin Bieber,13052963,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,2020-07-05
29,30,Before You Go,Lewis Capaldi,12571764,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,2020-07-05
30,31,Say So,Doja Cat,12112328,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,2020-07-05
31,32,Sunday Best,Surfaces,11973037,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,2020-07-05
32,33,In Your Eyes,The Weeknd,11371897,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl,2020-07-05
33,34,GOOBA,6ix9ine,11260077,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo,2020-07-05
34,35,Hasta Que Dios Diga,Anuel AA,11254470,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1,2020-07-05
35,36,Circles,Post Malone,11246879,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2020-07-05
36,37,Caramelo,Ozuna,11169365,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG,2020-07-05
37,38,Savage Remix (feat. Beyoncé),Megan Thee Stallion,11065948,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac,2020-07-05
38,39,Tusa,KAROL G,11030473,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,2020-07-05
39,40,Dior,Pop Smoke,10897700,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep,2020-07-05
40,41,Got It On Me,Pop Smoke,10606428,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1,2020-07-05
41,42,Kings & Queens,Ava Max,10514088,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn,2020-07-05
42,43,Falling,Trevor Daniel,10513407,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7,2020-07-05
43,44,Be Kind (with Halsey),Marshmello,10494363,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A,2020-07-05
44,45,goosebumps,Travis Scott,10441881,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,2020-07-05
45,46,Play Date,Melanie Martinez,10407540,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA,2020-07-05
46,47,Señorita,Shawn Mendes,10390877,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2020-07-05
47,48,Adore You,Harry Styles,10107897,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,2020-07-05
48,49,Memories,Maroon 5,9783144,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2020-07-05
49,50,Bläulich,Apache 207,9748926,https://open.spotify.com/track/57tck8MCxkY6tcQC6VhahR,2020-07-05
50,51,Lose Somebody,Kygo,9557505,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza,2020-07-05
51,52,Safaera,Bad Bunny,9240451,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y,2020-07-05
52,53,Gangstas,Pop Smoke,9183170,https://open.spotify.com/track/1hg3RlqFZXJb5YgRoK9qmF,2020-07-05
53,54,HIGHEST IN THE ROOM,Travis Scott,9161918,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,2020-07-05
54,55,Yo Perreo Sola,Bad Bunny,9095162,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw,2020-07-05
55,56,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,9075657,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,2020-07-05
56,57,Wash Us In The Blood,Kanye West,9054489,https://open.spotify.com/track/7mEUjhl6aTztdHCrxoTgBG,2020-07-05
57,58,Aim For The Moon (feat. Quavo),Pop Smoke,9011502,https://open.spotify.com/track/6O7fPYTsb2mY0PiFt2ymDB,2020-07-05
58,59,bad guy,Billie Eilish,8960724,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2020-07-05
59,60,Life Is Good (feat. Drake),Future,8741325,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3,2020-07-05
60,61,SICKO MODE,Travis Scott,8707088,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2020-07-05
61,62,Elegí (feat. Dímelo Flow),Rauw Alejandro,8496367,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau,2020-07-05
62,63,44 BullDog,Pop Smoke,8443771,https://open.spotify.com/track/7sjFIZ1g5QLJLGja3k592K,2020-07-05
63,64,Make It Rain (feat. Rowdy Rebel),Pop Smoke,8402816,https://open.spotify.com/track/71d7LaAgPcNcUopu3OzmP7,2020-07-05
64,65,ROXANNE,Arizona Zervas,8402787,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2020-07-05
65,66,Go Crazy,Chris Brown,8339523,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK,2020-07-05
66,67,La Curiosidad,Jay Wheeler,8316497,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz,2020-07-05
67,68,WHATS POPPIN,Jack Harlow,8275432,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM,2020-07-05
68,69,Ride It,Regard,8243645,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,2020-07-05
69,70,After Party,Don Toliver,8180243,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da,2020-07-05
70,71,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,8116611,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ,2020-07-05
71,72,Chicago Freestyle (feat. Giveon),Drake,8058650,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B,2020-07-05
72,73,Azul,J Balvin,8054818,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1,2020-07-05
73,74,Rojo,J Balvin,8036410,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi,2020-07-05
74,75,Lucid Dreams,Juice WRLD,8022114,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2020-07-05
75,76,We Paid (feat. 42 Dugg),Lil Baby,7755754,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp,2020-07-05
76,77,Stunnin' (feat. Harm Franklin),Curtis Waters,7739560,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx,2020-07-05
77,78,Mood Swings (feat. Lil Tjay),Pop Smoke,7677519,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm,2020-07-05
78,79,Something Special,Pop Smoke,7634780,https://open.spotify.com/track/5kkaSMcf4BFlhRRICCKZb6,2020-07-05
